target,year,n,r2,rmse,mae,bias,median_abs_error,observed_mean,observed_median,observed_p90,predicted_mean
A,2022,16,0.7815816978084836,12.55418425267049,8.023874999999997,2.5326250000000043,6.5200000000000005,19.03625,12.05,17.45,21.568875000000006
A,2023,10,-1.4206636263059251,9.565774929403265,7.011,4.757000000000002,6.679999999999998,15.6326,16.799999999999997,22.425399999999996,20.3896
A,2024,3,-0.5788271189866325,10.832696247933843,8.865999999999998,8.865999999999998,4.539999999999997,12.776666666666669,13.4,21.088,21.642666666666667
A,2025,1,,11.239999999999995,11.239999999999995,-11.239999999999995,11.239999999999995,27.9,27.9,27.9,16.660000000000004
A,2026,4,-14.278657028249949,4.954182185285481,4.306750000000002,4.246750000000001,5.393500000000002,11.2575,11.059999999999999,12.614,15.504250000000003
B,2022,16,0.5109865923528285,2.009637216537624,0.7895791054926609,-0.36152716998329004,0.23579408856915793,1.0885,0.15,1.7200000000000002,0.72697283001671
B,2023,10,-0.9288234604388916,1.0431550183259386,0.7482931792553732,0.25770634029146533,0.4077028731578999,0.5972999999999999,0.24,1.2769999999999995,0.8550063402914654
B,2024,3,-0.27407847190006285,0.5651785221034222,0.46041001543757254,0.46041001543757254,0.2741132053759406,0.576,0.29,1.082,1.0364100154375726
B,2025,1,,1.4701703024401054,1.4701703024401054,-1.4701703024401054,1.4701703024401054,1.93,1.93,1.93,0.4598296975598945
B,2026,4,-74.29803364140076,0.15643484564973129,0.1208769982926816,0.1208769982926816,0.07066820418884365,0.075,0.07500000000000001,0.09400000000000001,0.19587699829268163
C,2022,16,0.014309723341432323,26.95199903995991,16.107875,-2.346624999999998,9.84,38.875625,31.0,58.7,36.529
C,2023,10,0.25777026588376073,40.97363572835586,21.749200000000002,-9.796400000000002,8.150999999999998,47.7352,28.485,78.99499999999996,37.9388
C,2024,3,0.3175179697268382,16.375619072267163,15.030000000000001,5.343333333333335,14.530000000000001,35.11666666666667,26.11,55.31,40.46
C,2025,1,,63.86,63.86,-63.86,63.86,96.7,96.7,96.7,32.84
C,2026,4,-3.2903064506312196,11.326556786596713,10.900400000000001,2.8104000000000013,10.400000000000002,38.650000000000006,41.05,42.910000000000004,41.46040000000001
D,2022,16,0.3341610810090939,56.97703517646386,26.905,-7.054999999999999,12.052500000000002,57.921875,32.445,91.645,50.866875
D,2023,10,0.27565587650652335,12.389002572846612,8.989099999999999,8.279599999999999,7.747499999999999,32.8814,28.805500000000002,44.209999999999994,41.160999999999994
D,2024,3,-0.45278868264650285,14.367427280716154,11.73666666666667,10.050000000000002,10.060000000000002,34.24,27.15,46.254000000000005,44.29
D,2025,1,,16.275,16.275,16.275,16.275,30.0,30.0,30.0,46.275
D,2026,4,-47.33220246238028,4.6991249185353645,3.9974999999999987,-3.9974999999999987,3.099999999999998,28.325,28.6,28.87,24.3275
E,2022,16,0.8263979781685797,12.175229724000255,8.158885766669362,-5.55444514390562,5.435352368612747,41.620000000000005,31.65,63.375,36.06555485609438
E,2023,10,-0.8814069668348623,11.682751008947985,7.9390640590571095,1.6839703420235612,4.53558734703547,31.1595,32.252,38.955999999999996,32.84347034202356
E,2024,3,0.06463267528606487,33.92640938822817,23.515610538608012,-21.199276855829776,9.127326890475203,56.703333333333326,32.33,91.51400000000001,35.50405647750356
E,2025,1,,0.6567303355639034,0.6567303355639034,0.6567303355639034,0.6567303355639034,27.0,27.0,27.0,27.656730335563903
E,2026,4,-2.6322660399556037,5.590675207326748,4.106559607566118,-3.6622980997207746,3.5228395421423944,31.4,31.85,34.32,27.737701900279227
F,2022,16,-0.1813270901681805,63.8860439068934,37.75492165970427,-21.54187756419795,24.489435937083385,99.425,80.565,136.555,77.88312243580205
F,2023,10,0.14146168705166595,75.29804572285799,39.85353635792961,-35.73365103552673,21.884718910124075,112.6969,80.3435,188.10299999999992,76.96324896447328
F,2024,3,0.8577155615907593,60.62790959337827,46.08014611742623,-46.08014611742623,25.05562667381762,188.57666666666668,76.92,348.08000000000004,142.49652054924044
F,2025,1,,0.7490671425657354,0.7490671425657354,-0.7490671425657354,0.7490671425657354,95.0,95.0,95.0,94.25093285743426
F,2026,4,-22.062357340656323,54.50642648822886,52.14729583042046,-52.14729583042046,48.76437993360835,121.44999999999999,123.55,132.57,69.30270416957954
G,2022,16,0.6834673266990626,19.55601954717604,14.692303125000002,6.616803125000004,10.26275,72.706875,66.19999999999999,82.55000000000001,79.32367812500001
G,2023,10,-0.507127160709536,20.572390785127524,14.906360000000001,8.095360000000001,9.13675,67.96660000000001,67.98,82.2474,76.06196
G,2024,3,0.14443081049070372,19.729640478647003,17.188166666666657,-10.96516666666666,11.394999999999982,90.57000000000001,98.5,109.148,79.60483333333333
G,2025,1,,36.629999999999995,36.629999999999995,36.629999999999995,36.629999999999995,43.5,43.5,43.5,80.13
