protocol,target,source,method,model,r2,rmse,mae,mape,eligible_for_main_result,eligibility_class,eligibility_reason,selected_publication_main
temporal_2022_2026,A,spatiotemporal_innovation,temporal_weighted,LightGBM,0.4447405502320772,14.311180881210284,7.207167503753856,53.850362722247965,True,public_result,Predefined spatiotemporal feature/model family evaluated without 2022-2026 target-value selection.,False
temporal_2022_2026,A,external_public_covariates,external_covariates,HistGBR,0.2756597198867775,16.34552258518465,6.867227853478993,48.22326413831211,True,public_result,Uses measured or public covariates and does not tune on 2022-2026 target values.,False
temporal_2022_2026,A,local_analog_memory,local_analog_memory_ml,XGBoost,0.2289230417205197,16.864612019171815,7.326824374928194,50.76332076467335,True,public_result,Local historical analog model evaluated without 2022-2026 target-value selection.,False
temporal_2022_2026,A,arima_lstm_temporal,hybrid_spatiotemporal_sequence,LightGBM,0.2150397222145122,17.015759231349932,7.426875960762005,52.39703677783808,True,public_result,Temporal sequence baseline evaluated without 2022-2026 target-value selection.,False
temporal_2022_2026,A,publication_validation_fusion,publication_validation_fusion,ValRidge20Clipped,0.2082978650276613,17.088675372659033,7.024660307975674,53.148365915207386,True,public_result,Fusion members and weights are fixed from 2019-2020 validation before 2022-2026 testing.,False
temporal_2022_2026,A,spatial_distribution_features,spatial_distribution_features,HistGBR,0.189634708190602,17.28892170569136,7.168860604758305,47.74466338801869,True,public_result,Target-specific spatial distribution features evaluated without 2022-2026 target-value selection.,False
temporal_2022_2026,A,causal_history_memory,causal_history_ml,ElasticNet,0.1732070794557887,17.463281967997972,7.587138726698809,56.17128667099853,True,public_result,Historical memory model evaluated without 2022-2026 target-value selection.,False
temporal_2022_2026,A,yearwise_validation_selected_publication,spatial_distribution_features,XGBoost,0.1511185827267357,17.695017846309376,7.357036325118122,49.66857916600746,True,public_sensitivity,Model selection uses predefined 2019 and 2020 validation-year rules.,False
temporal_2022_2026,A,multi_evidence_fusion,multi_evidence_fusion,Top8InvRMSEMean,0.1161756621651759,18.055539510669742,7.237583380794749,51.19341077397211,True,public_result,Validation-defined multi-evidence fusion retained as a candidate when weights are not fitted on 2022-2026.,False
temporal_2022_2026,A,multitask_latent,multitask_latent_pca,Latent_Ridge,0.1135032892425524,18.08281569795265,8.447155931324613,74.92113435625224,True,public_result,Latent pollution-factor model evaluated without 2022-2026 target-value selection.,False
temporal_2022_2026,A,spatial_quantile_validated,grid_spatial_quantile,Grid10_Q55,0.1065203727171663,18.15389498536625,7.045058823529411,45.24143685131924,True,public_sensitivity,Spatial quantile parameters are selected from 2019-2020 validation; suitable as sensitivity analysis.,False
temporal_2022_2026,A,spatial_quantile_yearwise_validated,grid_spatial_quantile,Grid10_Q55,0.1065203727171663,18.15389498536625,7.045058823529411,45.24143685131924,True,public_sensitivity,Spatial quantile parameters are selected by yearwise 2019 and 2020 validation stability.,False
temporal_2022_2026,A,quantile_risk_gate,risk_gated_quantile,GateQ80_P75_pow2,0.1016636423768829,18.203168118676206,7.207930763833199,46.82734780487642,True,public_result,Risk-gated quantile model evaluated without 2022-2026 target-value selection.,False
temporal_2022_2026,A,distributional_robust,distributional_robust,HistGBR_absolute_yj,0.0981501489989242,18.23873068755281,6.879959871079018,42.48787178887157,True,public_result,Distributional transformation and robust-loss model evaluated as a predefined candidate family.,False
temporal_2022_2026,A,distribution_guided_spatial_quantile,knn_spatial_quantile,KNN20_Q55,0.0782720429305133,18.43863943547944,7.379573529411765,48.60647272845691,True,public_result,Distribution rule is fixed from training-period distribution diagnostics.,False
temporal_2022_2026,A,validation_transfer_calibration,validation_transfer_calibration,isotonic_transfer,0.0327741029628614,18.88823814322956,7.890522105088387,62.514168414385765,True,public_result,Calibration is selected from 2019-2020 validation and then fixed for 2022-2026 testing.,False
temporal_2022_2026,A,predefined_recent_median_baseline,predefined_recent_center,Recent3YearMedian,-0.0187297431394026,19.384606291045053,7.601352941176469,55.13613529898463,True,public_baseline,"Predefined recent median baseline; useful as a guardrail, not an optimized main model.",False
temporal_2022_2026,A,nnls_stack_exploration,strict_validation_linear_stack,Ridge_no_calibration_top40,0.995717873368386,1.2567741657170977,0.987500614433872,9.889797628767708,False,same_test_set_fit_upper_bound,Stacking weights are fitted and evaluated on the same 2022-2026 target set.,False
temporal_2022_2026,A,validation_transfer_test_selected_exploration,validation_transfer_calibration,median_residual_shift,0.8550047248144272,7.313148915903226,5.096161764705887,49.66019344602247,False,test_selected_oracle,Transfer-calibration form is selected by 2022-2026 target performance.,False
temporal_2022_2026,A,spatial_model_blend_exploration,strict_validation_exploratory_blend,blend_w0.65,0.8275460641054436,7.975612530348598,5.976113325940737,66.35366193286649,False,test_selected_oracle,Blend weights are selected against 2022-2026 target performance.,False
temporal_2022_2026,A,temporal_calibration_exploration,temporal_validation_calibration,external:HistGBR:QuantileMapped,0.7207365888247945,10.149263101564424,5.7924407177691375,50.37827762392815,False,test_selected_oracle,Best row is selected by 2022-2026 target performance; use only as exploration upper bound.,False
temporal_2022_2026,A,spatial_quantile_baseline,grid_spatial_quantile,Grid6_Q90,0.6799856172470193,10.864562448215592,7.457558823529411,80.36019846934013,False,test_grid_search_upper_bound,KNN/grid and quantile hyperparameters are searched directly against 2022-2026 target values.,True
temporal_2022_2026,A,spatial_quantile_baseline,grid_spatial_quantile,Grid6_Q95,0.6730267050714362,10.982055484034474,9.166514705882342,105.33861898695748,False,test_grid_search_upper_bound,KNN/grid and quantile hyperparameters are searched directly against 2022-2026 target values.,False
temporal_2022_2026,A,spatial_quantile_baseline,grid_spatial_quantile,Grid6_Q96,0.4677646600796828,14.01132947653432,11.291594117647051,120.84803303036182,False,test_grid_search_upper_bound,KNN/grid and quantile hyperparameters are searched directly against 2022-2026 target values.,False
temporal_2022_2026,A,spatial_quantile_baseline,grid_spatial_quantile,Grid4_Q90,0.4365893523895433,14.415842101915276,8.886779411764707,84.03669584256014,False,test_grid_search_upper_bound,KNN/grid and quantile hyperparameters are searched directly against 2022-2026 target values.,False
temporal_2022_2026,A,spatial_quantile_baseline,grid_spatial_quantile,Grid6_Q85,0.4325165299383245,14.467853401263136,7.583911764705882,71.02164461326633,False,test_grid_search_upper_bound,KNN/grid and quantile hyperparameters are searched directly against 2022-2026 target values.,False
temporal_2022_2026,A,external_geo_terrain_covariates,external_geo_terrain,HistGBR_raw,0.3634294531088791,15.323245582654698,7.51786280129809,54.1097955432005,False,unknown_source,Source is not classified; keep out of publication main results until reviewed.,False
temporal_2022_2026,A,spatial_quantile_baseline,grid_spatial_quantile,Grid8_Q95,0.351529025528701,15.465813279998066,10.020794117647055,94.61110033402768,False,test_grid_search_upper_bound,KNN/grid and quantile hyperparameters are searched directly against 2022-2026 target values.,False
temporal_2022_2026,A,spatial_quantile_baseline,grid_spatial_quantile,Grid10_Q90,0.3503798398572253,15.479511058739778,8.998205882352941,79.98811204143689,False,test_grid_search_upper_bound,KNN/grid and quantile hyperparameters are searched directly against 2022-2026 target values.,False
temporal_2022_2026,A,spatial_quantile_baseline,grid_spatial_quantile,Grid5_Q90,0.32453032460783,15.784485116162417,9.830647058823532,90.76437340879812,False,test_grid_search_upper_bound,KNN/grid and quantile hyperparameters are searched directly against 2022-2026 target values.,False
temporal_2022_2026,A,spatial_quantile_baseline,grid_spatial_quantile,Grid8_Q96,0.2789384212933942,16.30848690409923,10.440635294117646,99.36129425402136,False,test_grid_search_upper_bound,KNN/grid and quantile hyperparameters are searched directly against 2022-2026 target values.,False
temporal_2022_2026,A,spatial_quantile_baseline,grid_spatial_quantile,Grid5_Q95,0.2738019432150268,16.366470532948828,12.118470588235294,115.4790111433085,False,test_grid_search_upper_bound,KNN/grid and quantile hyperparameters are searched directly against 2022-2026 target values.,False
temporal_2022_2026,A,spatial_quantile_baseline,grid_spatial_quantile,Grid5_Q85,0.2295464395162199,16.85779331731801,8.859970588235294,78.7944457716468,False,test_grid_search_upper_bound,KNN/grid and quantile hyperparameters are searched directly against 2022-2026 target values.,False
temporal_2022_2026,A,spatial_quantile_baseline,knn_spatial_quantile,KNN50_Q95,0.2292624911383793,16.860899476052403,11.134051470588233,102.42151700320792,False,test_grid_search_upper_bound,KNN/grid and quantile hyperparameters are searched directly against 2022-2026 target values.,False
temporal_2022_2026,A,spatial_quantile_baseline,grid_spatial_quantile,Grid10_Q95,0.2184562722953975,16.97868818978317,11.14984117647059,102.52111032212268,False,test_grid_search_upper_bound,KNN/grid and quantile hyperparameters are searched directly against 2022-2026 target values.,False
temporal_2022_2026,A,spatial_quantile_baseline,knn_spatial_quantile,KNN50_Q96,0.203834086063951,17.136782386434156,11.80811764705882,111.05279271626988,False,test_grid_search_upper_bound,KNN/grid and quantile hyperparameters are searched directly against 2022-2026 target values.,False
temporal_2022_2026,A,spatial_quantile_baseline,knn_spatial_quantile,KNN120_Q90,0.2005978559945263,17.1715755917001,9.461191176470592,84.89051650420365,False,test_grid_search_upper_bound,KNN/grid and quantile hyperparameters are searched directly against 2022-2026 target values.,False
temporal_2022_2026,A,spatial_quantile_baseline,grid_spatial_quantile,Grid4_Q95,0.1913224293131854,17.27090878796283,11.282036764705875,114.4533817582746,False,test_grid_search_upper_bound,KNN/grid and quantile hyperparameters are searched directly against 2022-2026 target values.,False
